,H3-H4-1 angle,DNA H3-H4-1 angle,DNA H3-H4-1 torsion
293000.0,140.2916472646677,122.02508288555643,-7.846338404612231
294000.0,139.43331745464675,124.9369328717692,5.6842892851559474
295000.0,139.8922657116977,119.66455967906593,-7.522113300590356
296000.0,140.78783708886746,117.86605659779876,-3.645843696793263
297000.0,139.65441768027003,119.39984673401815,-2.3059260015436376
298000.0,140.79791369274224,121.12614235324692,-18.10883065171701
299000.0,139.8374362871251,119.20713023419435,-19.333505938781165
300000.0,139.44056417259506,120.50848420674781,-0.3244594724031811
301000.0,142.31636221499437,120.18163918059261,-26.53786371305197
302000.0,142.00562586747017,119.26229239781067,-17.2639376627087
303000.0,140.97677278112474,119.26269286793443,-13.366898711296614
304000.0,140.58714122784826,116.9412456739784,2.423441384514221
305000.0,141.67745006444528,119.1685453853407,-13.455184756250974
306000.0,140.3668349207254,120.66661849199691,-17.863583887353656
307000.0,139.8993862178582,118.48431833680498,-0.03363191050952312
308000.0,140.216462252828,125.40207356000934,-7.473723796439903
309000.0,139.7418431316254,122.39662029051452,-13.678532974035312
310000.0,140.55617179421407,124.81478753083745,-29.675929355100312
311000.0,143.59812207414515,123.37256843331677,-40.74493973884953
312000.0,143.11615083288282,123.3266754389374,-32.37707931935336
313000.0,143.23329620491944,123.55020852797956,-24.589940464896614
314000.0,140.98190526155742,122.71490281568444,-26.42419658352187
315000.0,140.66809114798377,122.39775500441517,-25.85865095450523
316000.0,137.1236432651707,120.27459804079918,-12.31018186169642
317000.0,139.5278108398698,120.2787161037537,-14.296109008632804
318000.0,142.89505116210287,124.10196733569353,-20.160233068424848
319000.0,140.89838807857078,121.22628511080221,-27.237436509971776
320000.0,143.94051907250946,122.38274529899999,-41.48135759783029
321000.0,140.18980304780203,120.05563695490473,-31.571813171806326
322000.0,137.88935019506798,122.33135197332368,-21.10914469126487
323000.0,141.46108721468116,124.35923630503314,-30.305604559259944
324000.0,140.88065223487587,125.91581127833722,-25.218275054388823
325000.0,141.45880832702315,120.89616047056087,-9.60055779489151
326000.0,140.82335912944842,120.26240908185078,-12.984002022090978
327000.0,138.786885426842,118.10597573920212,-19.578904648032232
328000.0,140.68977397887542,123.79688960377989,3.5034011697675185
329000.0,138.98663263607784,117.35681791085382,-17.050585360269302
330000.0,139.07281308059282,120.3122864473557,-8.056728152532349
331000.0,140.67401658264612,120.7351816797452,-21.58987154895035
332000.0,139.47226289547316,123.68748089743296,-18.87995277634804
333000.0,139.47238505065198,122.75334968425803,-22.138855888538753
334000.0,139.94773127732768,118.86290966154007,-23.743032642096622
335000.0,139.85510181684583,121.75357078768445,-23.19317115837454
336000.0,138.64386153301496,117.37779137742179,-8.882815971579824
337000.0,138.77173495850147,117.58848852005842,-23.226457917132148
338000.0,138.1115121623944,116.40509995902066,-17.70015303041333
339000.0,141.31605783888375,119.37684102189607,-15.482262303629685
340000.0,138.1560362331129,119.42721223211619,-5.994499183856524
341000.0,139.17676832594915,121.40890352761758,-19.589599328578082
342000.0,138.44339067780322,120.16085725788041,-22.798080241857566
343000.0,139.68217872554587,123.12921269818759,-25.802417281250573
344000.0,141.523003062708,123.04889998269081,-10.21558794238516
345000.0,138.8291404433687,124.20623472831815,-24.30488177501654
346000.0,140.120159962611,120.93614949178823,-30.563603999314395
